Erscheinungsjahr	Titel	Beteiligte Personen	Bibliographischer Hinweis
2000	Die Zukunft der Zeitschriften – Realismus oder Utopie?	Hartmut Walravens	II E aktuell (2000) 17, S. 11 – 13.
1999	Erschließung elektronischer Dokumente in der Zeitschriftendatenbank (ZDB)	Barbara Pagel und Barbara Sigrist	B.I.T.online 2 (1999) 4, S. 447 – 454.
1999	Nachweis und Erschließung von E-Journals in der ZfBB 	Barbara Sigrist	IIE aktuell (1999) 13, S. 1 – 3.
1999	To split or not to split oder: Wie geht man mit Titeländerungen bei Zeitschriften um?	Günter Franzmeier	II E aktuell (1999) 15, S. 3 – 9.
1999	Die Zeitschriftendatenbank - ein Angebot an die Länder Mittel- und Osteuropas	Hartmut Walravens	Transformation in Ostmittel- und Südosteuropa und ihre Auswirkungen auf das Informations- und Dokumentationswesen: Zagreb, 10. bis 13. Mai 1999 [Staatsbibliothek zu Berlin - Preußischer Kulturbesitz]. Zsgest. von Walter Andreesen. - Berlin: SBB-PK
1999	Zeitschriftendatenbank (ZDB): The German National Serials Database	Günter Franzmeier	The Serials Librarian 35 (1999) 4, S. 119 – 129.
1999	Zum Spektrum der Zusammenarbeit mit Bibliotheken in Mittel- und Osteuropa	Hartmut Walravens	Bibliotheksdienst 33 (1999) 6, S. 934 – 939.
1999	Zum Stand der Regelwerksdiskussion	Günter Franzmeier	IIE aktuell (1999) 14, S. 2 – 6. .
1998	Sammlung und bibliographische Verzeichnung von Tageszeitungen in DDB	Hartmut Walravens	Zeitungen verzeichnen und nutzen: aktuelle Ansätze und Unternehmungen zur bibliographischen und archivalischen Beschreibung und Nutzung deutschsprachiger Zeitungen / hrsg. von Hans Bohrmann und Wilbert Ubbens. - Berlin: Dt. Bibliotheksinst., 1998. - 2
1998	Zeitungen und zeitungsähnliche Periodika: ihre Beschreibung und Erfassung in der Zeitschriftendatenbank	Staatsbibliothek zu Berlin - Preußischer Kulturbesitz. Hrsg. von Hartmut Walravens. Bearb. von Marieluise Schillig.	Muenchen: Saur, 1998. - 313 S.
1998	Die Zukunft der GKD	Günter Franzmeier	II E aktuell (1998) 12, S. 1 – 3.
1997	Betrifft: Elektronische Zeitschriften	Günter Franzmeier	II E aktuell (1997) 9, S. 13 – 14
1997	Gemeinsame Körperschaftsdatei: Österreich macht jetzt mit	Günter Franzmeier	Bibliotheksdienst 31 (1997) 10, S. 1984.
1997	Das Gesamtverzeichnis der Kongress-Schriften (GKS) letztmalig erschienen	Günter Franzmeier	Bibliotheksdienst 31 (1997) 10, S. 1985 – 1988.
1997	Die Zeitschriftendatenbank (ZDB) und osteuropäische Bibliotheken	Hartmut Walravens	26. ABDOS-Tagung: Prag, 05. bis 08. Mai 1997; Referate und Beiträge. zsgest. von Walter Andreesen. - Berlin, 1997. - (Veröffentlichungen der Osteuropa-Abteilung / Staatsbibliothek zu Berlin, Preußischer Kulturbesitz; 22). - S. 82 - 83
1996	25 Jahre Zeitschriftendatenbank: (ZDB); Erreichtes und Bewährtes; Ausblick	Günter Franzmeier und Peter Gruber	Bibliotheksdienst 30 (1996) 2, S. 236 – 242.
1996	Untersuchung zur maschinellen Interpretation der Bestandsdaten in der Zeitschriftendatenbank: Bund-Länder-Initiative zur Beschleunigung der Literatur- und Informationsdienste SUBITO	[Bearb.: Axel Röpke. Fachl. Betreuung: Peter Gruber...].	Berlin, 1996
1995	Anfänge der Gesamtkatalogisierung von Zeitschriften in Deutschland	Hartmut Walravens	Zeitschriften in deutschen Bibliotheken : Bestand, Erwerbung, Erschließung, Benutzung. - München : Saur, 1995, S.
1995	Zeitschriftengesamtkataloge in Deutschland (1945-1970)	Günter Franzmeier	Zeitschriften in deutschen Bibliotheken : Bestand, Erwerbung, Erschließung, Benutzung. - München : Saur, 1995, S.
1995	Die Zeitschriftendatenbank (ZDB) 	Günter Franzmeier	Zeitschriften in deutschen Bibliotheken : Bestand, Erwerbung, Erschließung, Benutzung. - München : Saur, 1995, S.
1991	Die Mitarbeit der Bibliotheken der neuen Bundesländer in der ZDB	Hartmut Walravens	Bibliotheksdienst 25 (1991), Nr. 1, S. 1738 - 1740 
